YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2023,1,10000,28500,Craigslist
2007,17,170000,6000,Craigslist
2011,13,144600,7950,Craigslist
2000,24,207500,"5,500",Craigslist
2020,4,36316,22985,Craigslist
2022,2,39353,23591,Cargurus
2015,9,162324,9449,Cargurus
2008,16,90200,7950,Cargurus
2009,15,127611,9299,Cargurus
2019,5,43566,20081,Cargurus
2017,7,59829,16750,Autotrader
2014,10,54390,16999,Autotrader
2004,20,184229,6990,Autotrader
2005,19,164052,5988,Autotrader
2002,22,168995,8999,Autotrader



